timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778592445896,9,Login-1,200,OK,Thread Group 1-9,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,9,0,0
1778592445866,39,Login,200,OK,Thread Group 1-18,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,29,0,0
1778592445866,29,Login-0,302,Found,Thread Group 1-18,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,29,0,0
1778592445895,10,Login-1,200,OK,Thread Group 1-18,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
1778592445870,36,Birds,200,OK,Thread Group 1-3,text,true,,3710,246,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,36,0,0
1778592445867,40,Sign Out,200,OK,Thread Group 1-1,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,24,0,0
1778592445867,24,Sign Out-0,302,Found,Thread Group 1-1,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,24,0,0
1778592445894,13,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,13,0,0
1778592445901,8,Reptiles,200,OK,Thread Group 1-23,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,8,0,0
1778592445879,30,Home,200,OK,Thread Group 1-15,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,30,0,0
1778592445898,12,Sign In,200,OK,Thread Group 1-17,text,true,,3923,649,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,12,0,0
1778592445896,15,Main Catalog,200,OK,Thread Group 1-25,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1778592445877,38,Home,200,OK,Thread Group 1-8,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,38,0,0
1778592445902,14,Home,200,OK,Thread Group 1-10,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,14,0,0
1778592445900,17,Dogs,200,OK,Thread Group 1-16,text,true,,4296,245,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,17,0,0
1778592445894,24,Sign In,200,OK,Thread Group 1-7,text,true,,3923,649,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,24,0,0
1778592445890,28,Home,200,OK,Thread Group 1-21,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,28,0,0
1778592445891,27,Home,200,OK,Thread Group 1-14,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,27,0,0
1778592445889,30,Sign Out,200,OK,Thread Group 1-6,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,23,0,0
1778592445889,23,Sign Out-0,302,Found,Thread Group 1-6,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,23,0,0
1778592445912,7,Sign Out-1,200,OK,Thread Group 1-6,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1778592445873,46,Login,200,OK,Thread Group 1-20,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,14,0,0
